"unitid","institution name","year","HD2005.State abbreviation","IC2005.Applicants total","IC2005.Admissions total","IC2005.Enrolled total","IC2005.SAT  I Verbal 75th percentile score","IC2005.SAT I Math 75th percentile score","IC2005.ACT Composite 75th percentile score"
"100751","The University of Alabama","2005","Alabama","10555","7776","3739","630","630","26"
"100858","Auburn University","2005","Alabama","14249","11616","4197","600","620","27"
"104151","Arizona State University-Tempe","2005","Arizona","19914","18126","7706","610","620","26"
"104179","University of Arizona","2005","Arizona","17904","15701","5974","620","630","26"
"106397","University of Arkansas","2005","Arkansas","6041","5283","2752","640","640","28"
"110635","University of California-Berkeley","2005","California","36679","9041","3672","710","740","30"
"110662","University of California-Los Angeles","2005","California","43267","9949","3723","690","720","30"
"123961","University of Southern California","2005","California","31634","8418","2741","710","730","32"
"126614","University of Colorado Boulder","2005","Colorado","17111","15003","5047","630","650","28"
"134097","Florida State University","2005","Florida","22450","14016","6067","620","630","27"
"134130","University of Florida","2005","Florida","21151","12100","7241","670","690","29"
"135726","University of Miami","2005","Florida","18812","8679","2277","670","690","30"
"139755","Georgia Institute of Technology-Main Campus","2005","Georgia","9172","6191","2427","690","730","30"
"139959","University of Georgia","2005","Georgia","13267","8197","4513","660","660","28"
"145637","University of Illinois at Urbana-Champaign","2005","Illinois","21986","14955","7237","670","730","30"
"147767","Northwestern University","2005","Illinois","15637","4684","1915","740","760","33"
"151351","Indiana University-Bloomington","2005","Indiana","21974","18602","6949","610","620","27"
"152080","University of Notre Dame","2005","Indiana","11316","3581","1965","740","740","33"
"153603","Iowa State University","2005","Iowa","9101","8216","3769","660","690","27"
"153658","University of Iowa","2005","Iowa","13241","11122","3849","650","660","27"
"155317","University of Kansas","2005","Kansas","10442","7228","4269",,,"27"
"155399","Kansas State University","2005","Kansas","10067","4806","3466",,,"26"
"157085","University of Kentucky","2005","Kentucky","10604","8353","3961","620","640","27"
"157289","University of Louisville","2005","Kentucky","5335","4325","2358","620","610","26"
"159391","Louisiana State University and Agricultural & Mechanical College","2005","Louisiana","11077","8660","5700","630","660","27"
"163286","University of Maryland-College Park","2005","Maryland","22427","11001","4212","670","700",
"164924","Boston College","2005","Massachusetts","23823","7302","2174","700","720","31"
"170976","University of Michigan-Ann Arbor","2005","Michigan","23882","13610","6115","690","730","31"
"171100","Michigan State University","2005","Michigan","21844","16686","7485","620","650","27"
"174066","University of Minnesota-Twin Cities","2005","Minnesota","20573","14309","5305","660","690","28"
"176017","University of Mississippi","2005","Mississippi","6662","5410","2270","590","590","26"
"176080","Mississippi State University","2005","Mississippi","5778","3982","1966",,,"27"
"178396","University of Missouri-Columbia","2005","Missouri","12404","10262","4718","660","650","28"
"181464","University of Nebraska-Lincoln","2005","Nebraska","7474","5633","3560","660","670","28"
"186380","Rutgers University-New Brunswick","2005","New Jersey","25462","15437","5121","630","670",
"196413","Syracuse University","2005","New York","16265","10519","3253","650","670","29"
"198419","Duke University","2005","North Carolina","18090","3995","1724","750","780","33"
"199120","University of North Carolina at Chapel Hill","2005","North Carolina","18850","6741","3589","690","700","30"
"199193","North Carolina State University at Raleigh","2005","North Carolina","14109","8336","3957","630","660","27"
"199847","Wake Forest University","2005","North Carolina","6289","2945","1121","700","710",
"204796","Ohio State University-Main Campus","2005","Ohio","17636","12957","5954","590","610","28"
"207388","Oklahoma State University-Main Campus","2005","Oklahoma","6533","3331","3315","610","620","27"
"207500","University of Oklahoma-Norman Campus","2005","Oklahoma","7382","6325","3239",,,"28"
"209542","Oregon State University","2005","Oregon","6917","6224","2888","590","610","26"
"209551","University of Oregon","2005","Oregon","9623","8749","3183","610","620",
"214777","Pennsylvania State University-Main Campus","2005","Pennsylvania","30122","17551","5907","630","660","28"
"215293","University of Pittsburgh-Pittsburgh Campus","2005","Pennsylvania","18973","9295","2991","660","670","28"
"217882","Clemson University","2005","South Carolina","10620","7287","3033","640","660","28"
"218663","University of South Carolina-Columbia","2005","South Carolina","12379","8344","3403","620","630","27"
"221759","The University of Tennessee-Knoxville","2005","Tennessee","10832","4793","4422","610","610","27"
"221999","Vanderbilt University","2005","Tennessee","11663","4115","1622","720","740","33"
"223232","Baylor University","2005","Texas","15485","10170","3168","650","660","27"
"228723","Texas A & M University-College Station","2005","Texas","17911","12547","7079","640","670","28"
"228778","The University of Texas at Austin","2005","Texas","23925","12207","6836","670","690","29"
"228875","Texas Christian University","2005","Texas","8155","5471","1596","630","640","28"
"229115","Texas Tech University","2005","Texas","12583","8927","3779","600","620","26"
"230764","University of Utah","2005","Utah","6251","5403","2769",,,"26"
"233921","Virginia Polytechnic Institute and State University","2005","Virginia","17670","12703","5049","630","660",
"234076","University of Virginia-Main Campus","2005","Virginia","15657","5898","3113","710","720","30"
"236939","Washington State University","2005","Washington","9193","6793","2878","600","610","26"
"236948","University of Washington-Seattle Campus","2005","Washington","15955","10694","4893","650","670","28"
"238032","West Virginia University","2005","West Virginia","10523","9409","4359","570","590","25"
"240444","University of Wisconsin-Madison","2005","Wisconsin","19263","13723","5641","670","700","30"
"243744","Stanford University","2005","California","20195","2426","1633","770","780","33"
"243780","Purdue University-Main Campus","2005","Indiana","24052","20432","7252","610","650","28"
