"unitid","institution name","year","HD2007.State abbreviation","HD2007.Institution name alias","DRVIC2007.Percent admitted - total","DRVIC2007.Admissions yield - total","IC2007.Applicants total","IC2007.Admissions total","IC2007.Enrolled total","IC2007.SAT Critical Reading 75th percentile score","IC2007.SAT Math 75th percentile score","IC2007.SAT Writing 75th percentile score","IC2007.ACT Composite 75th percentile score"
"100751","The University of Alabama","2007","Alabama",,"64","50","14313","9140","4538","610","620",,"27"
"100858","Auburn University","2007","Alabama",,"69","34","17688","12200","4191","610","630",,"27"
"104151","Arizona State University-Tempe","2007","Arizona","ASU Tempe|ASU Tempe Campus|ASU at the Tempe Campus","92","41","20702","19133","7894","600","620",,"26"
"104179","University of Arizona","2007","Arizona","UA|U of A|Arizona|UofA|The University of Arizona|University of Arizona|University of Az|AZ|Univ. of Arizona|Univ. of Az|Tucson|Tucson, AZ|the university of Arizona|the Univ. of Az|the U of AZ|the U of Az|Ariz.|Arizona University|Az+university|85721|AZ+univ|AZ university|","77","43","25449","19703","8482","600","620",,"26"
"106397","University of Arkansas","2007","Arkansas","University of Arkansas|Arkansas","62","46","10135","6262","2899","630","650",,"29"
"110635","University of California-Berkeley","2007","California","UC Berkeley","24","42","41796","9932","4157","710","740","710","30"
"110662","University of California-Los Angeles","2007","California","UCLA |UC Los Angeles","26","39","47317","12188","4810","680","720","690","30"
"123961","University of Southern California","2007","California",,"25","35","33760","8453","2963","720","740","720","32"
"126614","University of Colorado Boulder","2007","Colorado","U of Colorado|Univ of Colorado|University of Colorado|U of CO|Univ of CO|University of CO|Boulder|CU|CU-Boulder|UCB|CUB|Colorado|Colorado University|U of Colo|Univ of Colo|University of Colo|Colo|Buffs|Buffalos|Buffaloes|CU at Boulder|Golden Buffs","82","35","19857","16187","5591","630","650",,"28"
"134097","Florida State University","2007","Florida","Florida State|F.S.U.|FSU|F. S. U.|Fla. State University|Fla. State|Fl State University|Fl State|FL State University|FL State|Seminoles|Noles|Florida State Seminoles|Florida State University Seminoles|Fl. State|Fl. State University|The Florida State University|Floridia State University|Florda State University|Florida State Univerisity|Flordia State University|Florida State Unversity|","55","46","24343","13415","6133","630","640",,"28"
"134130","University of Florida","2007","Florida",,"42","63","24126","10158","6443","670","690",,"29"
"135726","University of Miami","2007","Florida",,"38","26","19809","7527","1991","680","690","650","31"
"139755","Georgia Institute of Technology-Main Campus","2007","Georgia","Georgia Tech","63","45","9259","5831","2626","690","730","670","31"
"139959","University of Georgia","2007","Georgia",,"58","55","15924","9214","5064","660","660","650","28"
"145600","University of Illinois at Chicago","2007","Illinois","UIC|U of I-Chicago|Illinois-Chicago|U of I-Medical Center|University of Illinois-Medical Center|","64","38","13595","8686","3291",,,,"26"
"147767","Northwestern University","2007","Illinois",,"30","38","18385","5434","2060","740","760",,"33"
"151351","Indiana University-Bloomington","2007","Indiana","IU|IUB|IU Bloomington|","70","35","29059","20282","7197","620","640",,"28"
"152080","University of Notre Dame","2007","Indiana","Notre Dame | Fighting Irish | ND","24","56","14503","3549","1991","750","760","720","34"
"153603","Iowa State University","2007","Iowa",,"90","46","9634","8674","3983","640","690",,"27"
"153658","University of Iowa","2007","Iowa","Iowa|UI","83","35","14678","12209","4287","650","670",,"27"
"155317","University of Kansas","2007","Kansas","University of Kansas | Univ of Kansas | Kansas University | KU | Kansas Jayhawks | Univ of KS |University of KS | Kansas Univ | Kansas U","77","53","10240","7874","4153",,,,"27"
"155399","Kansas State University","2007","Kansas",,"83","50","7479","6207","3104",,,,"25"
"157085","University of Kentucky","2007","Kentucky",,"81","52","10024","8073","4190","610","630","590","26"
"157289","University of Louisville","2007","Kentucky",,"71","55","6323","4477","2443","630","640",,"27"
"159391","Louisiana State University and Agricultural & Mechanical College","2007","Louisiana","Louisiana State University|LSU","74","60","10135","7455","4508","640","650","620","28"
"163259","University of Maryland, Baltimore","2007","Maryland",,,,,,,,,,
"164924","Boston College","2007","Massachusetts",,"27","29","28850","7869","2291","710","720","710","31"
"170976","University of Michigan-Ann Arbor","2007","Michigan","U of Michigan|U of M|Univ of Michigan|U Michigan Ann Arbor|University of Michigan Ann Arbor","50","43","27474","13826","5992","690","730",,"31"
"171100","Michigan State University","2007","Michigan","MSU|Spartans|MI State University|State|MI State U","74","42","24436","18040","7541","620","650","600","27"
"174066","University of Minnesota-Twin Cities","2007","Minnesota",,"57","36","26096","14823","5280","680","700",,"29"
"176017","University of Mississippi","2007","Mississippi","Ole Miss","84","39","7921","6644","2570","560","570",,"26"
"176080","Mississippi State University","2007","Mississippi",,"64","59","6098","3879","2281",,,,"27"
"178396","University of Missouri-Columbia","2007","Missouri",,"78","47","13102","10228","4838","650","650",,"28"
"181464","University of Nebraska-Lincoln","2007","Nebraska",,"62","71","9598","5978","4235","650","670",,"28"
"186380","Rutgers University-New Brunswick","2007","New Jersey","Rutgers, The State University of New Jersey|Rutgers, The State University|Rutgers University|Rutgers, New Brunswick Campus|Rutgers-New Brunswick Campus|Rutgers-New Jersey|Rutgers, The State University New Brunswick/Piscataway Campus|Rutgers, New Brunswick|Rutgers|RU|Rutgers, New Jersey","56","35","28208","15877","5519","630","670",,
"196413","Syracuse University","2007","New York",,"51","29","21225","10750","3104","650","680",,"29"
"198419","Duke University","2007","North Carolina",,"23","41","18159","4122","1683","760","780","750","34"
"199120","University of North Carolina at Chapel Hill","2007","North Carolina",,"34","57","19728","6737","3807","690","700","680","30"
