"unitid","institution name","year","HD2008.State abbreviation","HD2008.Institution name alias","DRVIC2008_RV.Percent admitted - total","DRVIC2008_RV.Admissions yield - total","IC2008_RV.Applicants total","IC2008_RV.Admissions total","IC2008_RV.Enrolled total","IC2008_RV.SAT Critical Reading 75th percentile score","IC2008_RV.SAT Math 75th percentile score","IC2008_RV.SAT Writing 75th percentile score","IC2008_RV.ACT Composite 75th percentile score"
"100751","The University of Alabama","2008","Alabama",,"60","46","18500","11172","5116","600","610",,"27"
"100858","Auburn University","2008","Alabama",,"71","33","17068","12085","3984","620","650","620","28"
"104151","Arizona State University-Tempe","2008","Arizona","ASU","94","39","24922","23504","9274","590","610",,"26"
"104179","University of Arizona","2008","Arizona","UA|U of A|Arizona|UofA|The University of Arizona|University of Arizona|University of Az|AZ|Univ. of Arizona|Univ. of Az|Tucson|Tucson, AZ|the university of Arizona|the Univ. of Az|the U of AZ|the U of Az|Ariz.|Arizona University|Az+university|85721|AZ+univ|AZ university|","81","37","22544","18158","6709","600","620",,"26"
"106397","University of Arkansas","2008","Arkansas","University of Arkansas|Arkansas","58","43","12045","6945","3011","630","640",,"28"
"110635","University of California-Berkeley","2008","California","UC Berkeley","23","41","44149","10251","4225","710","750","710","31"
"110662","University of California-Los Angeles","2008","California","UCLA |UC Los Angeles","24","38","50746","11960","4563","680","730","690","31"
"123961","University of Southern California","2008","California",,"22","35","35900","7875","2766","720","750","730","33"
"126614","University of Colorado Boulder","2008","Colorado","U of Colorado|Univ of Colorado|University of Colorado|U of CO|Univ of CO|University of CO|Boulder|CU|CU-Boulder|UCB|CUB|Colorado|Colorado University|U of Colo|Univ of Colo|University of Colo|Colo|Buffs|Buffalos|Buffaloes|CU at Boulder|Golden Buffs","78","33","23004","17933","5860","630","650",,"28"
"134097","Florida State University","2008","Florida","Florida State|F.S.U.|FSU|F. S. U.|Fla. State University|Fla. State|Fl State University|Fl State|FL State University|FL State|Seminoles|Noles|Florida State Seminoles|Florida State University Seminoles|Fl. State|Fl. State University|The Florida State University|Floridia State University|Florda State University|Florida State Univerisity|Flordia State University|Florida State Unversity|","47","42","25485","11901","5031","640","650",,"28"
"134130","University of Florida","2008","Florida",,"41","58","26326","10916","6384","680","700",,"30"
"135726","University of Miami","2008","Florida",,"39","24","21774","8411","2010","680","700","670","31"
"139755","Georgia Institute of Technology-Main Campus","2008","Georgia","Georgia Tech","63","43","9664","6122","2628","690","730","670","31"
"139959","University of Georgia","2008","Georgia",,"55","51","16871","9242","4721","650","660","650","29"
"145637","University of Illinois at Urbana-Champaign","2008","Illinois","Illinois|Illinios|Ilinois|Ilinios|Urbana|Champaign|Champagne|Champaign-Urbana|Champagne-Urbana|Urbana-Champaign|Urbana-Champagne|University of Illinois at Urbana|University of Illinois at Champaign|University of Illinois at Champagne|University of Illinois at Champaign-Urbana|University of Illinois at Champagne-Urbana|UIUC|UICU|University of Illinois at UC|University of Illinois at CU","69","45","23240","16043","7287","660","750",,"31"
"147767","Northwestern University","2008","Illinois",,"27","34","21930","5872","1981","750","770","750","34"
"151351","Indiana University-Bloomington","2008","Indiana","IU|IUB|IU Bloomington|","71","34","31177","22039","7564","620","640","620","29"
"152080","University of Notre Dame","2008","Indiana","Notre Dame | Fighting Irish | ND","27","54","13945","3727","2000","740","760","730","34"
"153603","Iowa State University","2008","Iowa",,"89","44","11058","9832","4347","640","680",,"27"
"153658","University of Iowa","2008","Iowa","Iowa|UI","82","33","15582","12827","4246","660","680",,"28"
"155317","University of Kansas","2008","Kansas","University of Kansas | Univ of Kansas | Kansas University | KU | Kansas Jayhawks | Univ of KS |University of KS | Kansas Univ | Kansas U","92","43","10367","9554","4084",,,,"27"
"155399","Kansas State University","2008","Kansas",,"56","76","9386","5249","3981","630","650","610","26"
"157085","University of Kentucky","2008","Kentucky",,"77","47","10619","8172","3865","610","630","590","27"
"157289","University of Louisville","2008","Kentucky",,"70","50","7280","5109","2569","610","640",,"27"
"159391","Louisiana State University and Agricultural & Mechanical College","2008","Louisiana","Louisiana State University|LSU","73","55","11452","8332","4596","635","650","600","28"
"163286","University of Maryland-College Park","2008","Maryland",,"39","36","28054","10888","3912","680","700",,
"164924","Boston College","2008","Massachusetts",,"26","27","30845","8093","2167","700","730","710","32"
"170976","University of Michigan-Ann Arbor","2008","Michigan","U of Michigan|U of M|Univ of Michigan|U Michigan Ann Arbor|University of Michigan Ann Arbor","42","46","29814","12567","5783","690","740",,"31"
"171100","Michigan State University","2008","Michigan","MSU|Spartans|MI State University|State|MI State U","70","42","25589","17919","7555","620","660","610","27"
"174066","University of Minnesota-Twin Cities","2008","Minnesota",,"53","33","29173","15324","5107","670","710","650","29"
"176017","University of Mississippi","2008","Mississippi","Ole Miss","83","37","7946","6630","2473","560","570",,"26"
"176080","Mississippi State University","2008","Mississippi",,"57","78","7479","4273","3313","630","640",,"27"
"178396","University of Missouri-Columbia","2008","Missouri",,"85","47","14491","12327","5783","660","650",,"28"
"181464","University of Nebraska-Lincoln","2008","Nebraska",,"63","69","9709","6122","4200","670","670",,"28"
"186380","Rutgers University-New Brunswick","2008","New Jersey","Rutgers, The State University of New Jersey|Rutgers, The State University|Rutgers University|Rutgers, New Brunswick Campus|Rutgers-New Brunswick Campus|Rutgers-New Jersey|Rutgers, The State University New Brunswick/Piscataway Campus|Rutgers, New Brunswick|Rutgers|RU|Rutgers, New Jersey","56","35","29547","16478","5840","630","670","630",
"196413","Syracuse University","2008","New York",,"53","27","22079","11597","3186","620","650","630","28"
"198419","Duke University","2008","North Carolina",,"23","42","17748","4077","1700","750","790","780","34"
"199120","University of North Carolina at Chapel Hill","2008","North Carolina",,"35","56","20090","6999","3893","700","700","690","31"
"199193","North Carolina State University at Raleigh","2008","North Carolina","NC State University | NC State | N C State University | N C State | NCSU","60","49","16553","9985","4907","610","650","610","27"
"199847","Wake Forest University","2008","North Carolina",,"38","35","9050","3473","1202","690","710",,"31"
"204796","Ohio State University-Main Campus","2008","Ohio",,"62","47","20932","13041","6173","650","680",,"30"
"207388","Oklahoma State University-Main Campus","2008","Oklahoma",,"89","54","6406","5702","3073","600","620",,"27"
"207500","University of Oklahoma-Norman Campus","2008","Oklahoma","University of Oklahoma|Oklahoma University|OU|Oklahoma","73","48","10863","7958","3803","640","650",,"28"
"209542","Oregon State University","2008","Oregon",,"86","45","8149","6971","3141","580","610",,"26"
"209551","University of Oregon","2008","Oregon","UO","87","37","11287","9813","3587","600","610",,
"214777","Pennsylvania State University-Main Campus","2008","Pennsylvania","Penn State","51","32","39551","20156","6495","630","670",,"28"
"215293","University of Pittsburgh-Pittsburgh Campus","2008","Pennsylvania",,"56","32","19056","10591","3432","670","670",,"30"
"217882","Clemson University","2008","South Carolina",,"50","39","14255","7154","2762","640","680",,"30"
"218663","University of South Carolina-Columbia","2008","South Carolina",,"59","43","14994","8908","3813","630","650",,"28"
"221759","The University of Tennessee-Knoxville","2008","Tennessee",,"71","48","12824","9136","4351","630","640",,"28"
"221999","Vanderbilt University","2008","Tennessee",,"25","37","16944","4292","1569","740","760","730","33"
"223232","Baylor University","2008","Texas",,"51","23","25501","13096","3068","650","660",,"28"
"228723","Texas A & M University-College Station","2008","Texas","Texas A&M | TAMU","70","55","20887","14640","8091","630","670","610","29"
"228778","The University of Texas at Austin","2008","Texas","UT Austin |University of Texas","44","52","29501","12843","6718","660","690","650","30"
"228875","Texas Christian University","2008","Texas",,"50","26","12212","6157","1630","630","640","640","28"
"229115","Texas Tech University","2008","Texas",,"72","38","16143","11643","4385","590","620","570","26"
"230764","University of Utah","2008","Utah","The U","81","45","7244","5873","2642","610","635","610","27"
"233921","Virginia Polytechnic Institute and State University","2008","Virginia","Virginia Tech","65","40","20615","13485","5460","630","670","630",
"234076","University of Virginia-Main Campus","2008","Virginia","University of Virginia |UVa |UVA","37","48","18363","6735","3255","710","730","720","32"
"236939","Washington State University","2008","Washington",,"72","42","11326","8179","3411","600","620","580","26"
"236948","University of Washington-Seattle Campus","2008","Washington","UW-Seattle, UDub, UW, Washington","61","46","19906","12094","5607","640","680",,"29"
"238032","West Virginia University","2008","West Virginia","WVU","35","100","13634","4731","4731","560","590",,"26"
"240444","University of Wisconsin-Madison","2008","Wisconsin",,"63","43","22289","14004","5994","670","710","670","30"
"243744","Stanford University","2008","California",,"9","71","25299","2400","1703","760","780","760","34"
"243780","Purdue University-Main Campus","2008","Indiana","Purdue-West Lafayette|Purdue|PU|Purdue-WL","72","33","29952","21423","7025","610","660","600","29"
