"unitid","institution name","year","HD2014.State abbreviation","HD2014.Institution name alias","DRVADM2014_RV.Percent admitted - total","DRVADM2014_RV.Admissions yield - total","ADM2014_RV.Applicants total","ADM2014_RV.Admissions total","ADM2014_RV.Enrolled total","ADM2014_RV.SAT Critical Reading 75th percentile score","ADM2014_RV.SAT Math 75th percentile score","ADM2014_RV.SAT Writing 75th percentile score","ADM2014_RV.ACT Composite 75th percentile score"
"100751","The University of Alabama","2014","Alabama","","51","40","33736","17221","6824","620","630","600","31"
"100858","Auburn University","2014","Alabama","","83","32","16958","14154","4592","630","645","610","30"
"104151","Arizona State University-Tempe","2014","Arizona","ASU Tempe","84","40","22581","19042","7647","630","640",,"28"
"104179","University of Arizona","2014","Arizona","UA|U of A|Arizona|UofA|The University of Arizona|University of Arizona|University of Az|AZ|Univ. of Arizona|Univ. of Az|Tucson|Tucson, AZ|the university of Arizona|the Univ. of Az|the U of AZ|the U of Az|Ariz.|Arizona University|Az+university|85721|AZ+univ|AZ university|","75","32","32723","24417","7744",,,,
"106397","University of Arkansas","2014","Arkansas","University of Arkansas|Arkansas","62","39","18984","11777","4571","610","620",,"28"
"110635","University of California-Berkeley","2014","California","UC Berkeley","16","46","73782","11820","5467","730","770","750","34"
"110662","University of California-Los Angeles","2014","California","UCLA","19","36","86537","16059","5764","710","750","730","33"
"123961","University of Southern California","2014","California","USC","18","33","51920","9358","3098","720","760","740","33"
"126614","University of Colorado Boulder","2014","Colorado","U of Colorado|Univ of Colorado|University of Colorado|U of CO|Univ of CO|University of CO|Boulder|CU|CU-Boulder|UCB|CUB|Colorado|Colorado University|U of Colo|Univ of Colo|University of Colo|Colo|Buffs|Buffalos|Buffaloes|CU at Boulder|Golden Buffs|University of Colorado at Boulder","84","24","28852","24282","5869","630","660",,"30"
"134097","Florida State University","2014","Florida","Florida State|F.S.U.|FSU|F. S. U.|Fla. State University|Fla. State|Fl State University|Fl State|FL State University|FL State|Seminoles|Noles|Florida State Seminoles|Florida State University Seminoles|Fl. State|Fl. State University|The Florida State University|Floridia State University|Florda State University|Florida State Univerisity|Flordia State University|Florida State Unversity|","55","36","30266","16763","6021","640","640","640","29"
"134130","University of Florida","2014","Florida","","46","50","28662","13072","6512","670","690","670","31"
"135726","University of Miami","2014","Florida","","38","17","31613","12069","2078","690","730","690","32"
"139755","Georgia Institute of Technology-Main Campus","2014","Georgia","Georgia Tech","33","33","25884","8641","2809","720","770","730","33"
"139959","University of Georgia","2014","Georgia","","56","45","20918","11655","5243","660","670","660","30"
"145637","University of Illinois at Urbana-Champaign","2014","Illinois","Illinois|Illinios|Ilinois|Ilinios|Urbana|Champaign|Champagne|Champaign-Urbana|Champagne-Urbana|Urbana-Champaign|Urbana-Champagne|University of Illinois at Urbana|University of Illinois at Champaign|University of Illinois at Champagne|University of Illinois at Champaign-Urbana|University of Illinois at Champagne-Urbana|UIUC|UICU|University of Illinois at UC|University of Illinois at CU","59","33","35822","21150","6937","690","790","690","32"
"147767","Northwestern University","2014","Illinois","","13","46","33674","4416","2043","770","790","770","34"
"151351","Indiana University-Bloomington","2014","Indiana","IU|IUB|IU Bloomington|","76","28","36362","27668","7716","630","660","620","30"
"152080","University of Notre Dame","2014","Indiana","Notre Dame | Fighting Irish | ND","21","53","17901","3785","2011","750","770",,"34"
"153603","Iowa State University","2014","Iowa","ISU","87","38","18399","15990","6041","630","680",,"29"
"153658","University of Iowa","2014","Iowa","Iowa|UI","81","24","24097","19506","4666","620","700",,"28"
"155317","University of Kansas","2014","Kansas","University of Kansas | Univ of Kansas | Kansas University | KU | Kansas Jayhawks | Univ of KS |University of KS | Kansas Univ | Kansas U, KUMC, University of Kansas Medical Center, KU Medical Center, Kansas University Medical Center","91","28","15767","14414","4084",,,,"28"
"155399","Kansas State University","2014","Kansas","K-State","95","41","9614","9127","3757",,,,
"157085","University of Kentucky","2014","Kentucky","","72","35","20677","14930","5185","620","640","610","28"
"157289","University of Louisville","2014","Kentucky","","74","37","10604","7832","2887","620","630",,"28"
"159391","Louisiana State University and Agricultural & Mechanical College","2014","Louisiana","Louisiana State University|LSU","77","45","16580","12706","5655","600","630",,"28"
"163259","University of Maryland, Baltimore","2014","Maryland","",,,,,,,,,
"164924","Boston College","2014","Massachusetts","","34","29","23223","7875","2288","720","740","730","33"
"170976","University of Michigan-Ann Arbor","2014","Michigan","U of Michigan|U of M|Univ of Michigan|U Michigan Ann Arbor|University of Michigan Ann Arbor","32","41","49776","16047","6505","720","760","720","33"
"171100","Michigan State University","2014","Michigan","MSU|Spartans|MI State University|State|MI State U","66","37","33211","21950","8055","580","690","570","28"
"174066","University of Minnesota-Twin Cities","2014","Minnesota","","45","27","44760","20300","5530","690","750","680","30"
"176017","University of Mississippi","2014","Mississippi","Ole Miss","81","29","16101","13077","3809","590","590",,"27"
"176080","Mississippi State University","2014","Mississippi","","71","39","10766","7646","2974","630","640",,"28"
"178396","University of Missouri-Columbia","2014","Missouri","","78","40","21163","16437","6515","650","660",,"28"
"181464","University of Nebraska-Lincoln","2014","Nebraska","","70","56","11865","8293","4652","640","660",,"28"
