"unitid","institution name","year","HD2016.Institution name alias","HD2016.State abbreviation","DRVADM2016_RV.Percent admitted - total","DRVADM2016_RV.Admissions yield - total","ADM2016_RV.Applicants total","ADM2016_RV.Admissions total","ADM2016_RV.Enrolled total","ADM2016_RV.SAT Critical Reading 75th percentile score","ADM2016_RV.SAT Math 75th percentile score","ADM2016_RV.ACT Composite 75th percentile score"
"100751","The University of Alabama","2016","","Alabama","53","38","38237","20107","7559","610","620","31"
"100858","Auburn University","2016","","Alabama","81","31","18256","14704","4529","620","640","30"
"104151","Arizona State University-Tempe","2016","ASU Tempe, ASU Main","Arizona","83","40","24764","20431","8230","630","650","28"
"104179","University of Arizona","2016","UA|U of A|Arizona|UofA|The University of Arizona|University of Arizona|University of Az|AZ|Univ. of Arizona|Univ. of Az|Tucson|Tucson, AZ|the university of Arizona|the Univ. of Az|the U of AZ|the U of Az|Ariz.|Arizona University|Az+university|85721|AZ+univ|AZ university|","Arizona","79","27","36166","28433","7753",,,
"106397","University of Arkansas","2016","University of Arkansas|Arkansas","Arkansas","63","36","21539","13613","4967","600","620","29"
"110635","University of California-Berkeley","2016","UC Berkeley","California","17","44","82561","13975","6182","750","790","34"
"110662","University of California-Los Angeles","2016","UCLA","California","18","37","97112","17473","6545","710","760","33"
"123961","University of Southern California","2016","USC","California","17","34","54280","9022","3068","730","770","33"
"126614","University of Colorado Boulder","2016","U of Colorado|Univ of Colorado|University of Colorado|U of CO|Univ of CO|University of CO|Boulder|CU|CU-Boulder|UCB|CUB|Colorado|Colorado University|U of Colo|Univ of Colo|University of Colo|Colo|Buffs|Buffalos|Buffaloes|CU at Boulder|Golden Buffs|University of Colorado at Boulder","Colorado","77","25","34047","26087","6439","640","670","30"
"134097","Florida State University","2016","Florida State|F.S.U.|FSU|F. S. U.|Fla. State University|Fla. State|Fl State University|Fl State|FL State University|FL State|Seminoles|Noles|Florida State Seminoles|Florida State University Seminoles|Fl. State|Fl. State University|The Florida State University|Floridia State University|Florda State University|Florida State Univerisity|Flordia State University|Florida State Unversity|","Florida","58","37","29027","16840","6282","640","640","29"
"134130","University of Florida","2016","","Florida","46","49","30118","13836","6842","680","690","31"
"135726","University of Miami","2016","","Florida","38","17","32528","12267","2066","680","710","32"
"139755","Georgia Institute of Technology-Main Campus","2016","Georgia Tech","Georgia","26","37","30528","7868","2877","730","770","34"
"139959","University of Georgia","2016","","Georgia","54","44","22694","12232","5433","670","670","31"
"145600","University of Illinois at Chicago","2016","UIC|U of I-Chicago|Illinois-Chicago|U of I-Medical Center|University of Illinois-Medical Center|","Illinois","74","25","17931","13196","3307","580","655","27"
"147767","Northwestern University","2016","","Illinois","11","53","35100","3743","1985","760","800","34"
"151351","Indiana University-Bloomington","2016","IU|IUB|IU Bloomington|","Indiana","79","28","34646","27272","7673","630","660","30"
"152080","University of Notre Dame","2016","Notre Dame | Fighting Irish | ND","Indiana","19","56","19505","3654","2046","760","780","35"
"153603","Iowa State University","2016","ISU","Iowa","87","37","19433","17002","6325","610","660","28"
"153658","University of Iowa","2016","Iowa|UI","Iowa","84","24","28494","23967","5643","640","680","28"
"155317","University of Kansas","2016","University of Kansas | Univ of Kansas | Kansas University | KU | Kansas Jayhawks | Univ of KS |University of KS | Kansas Univ | Kansas U, KUMC, University of Kansas Medical Center, KU Medical Center, Kansas University Medical Center","Kansas","93","30","15015","13965","4233",,,"29"
"155399","Kansas State University","2016","K-State","Kansas","94","41","9213","8667","3581",,,
"157085","University of Kentucky","2016","","Kentucky","91","28","20480","18593","5117","620","630","29"
"157289","University of Louisville","2016","","Kentucky","73","38","10404","7550","2883",,,"29"
"159391","Louisiana State University and Agricultural & Mechanical College","2016","Louisiana State University|LSU","Louisiana","76","40","18122","13843","5475","620","630","28"
"163259","University of Maryland, Baltimore","2016","","Maryland",,,,,,,,
"164924","Boston College","2016","","Massachusetts","31","26","28956","9017","2359","720","740","33"
"170976","University of Michigan-Ann Arbor","2016","U of Michigan|U of M|Univ of Michigan|U Michigan Ann Arbor|University of Michigan Ann Arbor","Michigan","29","42","55504","15871","6689","730","770","33"
"171100","Michigan State University","2016","MSU|Spartans|MI State University|State|MI State U","Michigan","66","33","37480","24641","8190","590","670","29"
"174066","University of Minnesota-Twin Cities","2016","","Minnesota","44","27","49129","21820","5880","700","750","31"
"176017","University of Mississippi","2016","Ole Miss","Mississippi","78","28","17918","14029","3964","610","620","29"
"176080","Mississippi State University","2016","","Mississippi","56","46","14012","7801","3624",,,"28"
"178396","University of Missouri-Columbia","2016","","Missouri","75","30","21107","15767","4772","640","650","29"
"181464","University of Nebraska-Lincoln","2016","","Nebraska","75","58","11193","8425","4860","630","650","28"
"186380","Rutgers University-New Brunswick","2016","Rutgers, The State University of New Jersey|Rutgers, The State University|Rutgers University|Rutgers, New Brunswick |Rutgers University-New Brunswick|Rutgers-New Jersey|Rutgers, The State University New Brunswick/Piscataway|Rutgers, New Brunswick|Rutgers|RU|Rutgers, New Jersey","New Jersey","57","31","36677","20884","6466","650","700",
"196413","Syracuse University","2016","","New York","52","23","30923","16179","3712","630","660","29"
"198419","Duke University","2016","","North Carolina","11","50","31671","3430","1723","770","800","34"
"199120","University of North Carolina at Chapel Hill","2016","","North Carolina","27","45","34889","9400","4228","700","720","33"
"199193","North Carolina State University at Raleigh","2016","NC State University | NC State | N C State University | N C State | NCSU","North Carolina","48","35","26451","12568","4388","660","690","31"
"199847","Wake Forest University","2016","","North Carolina","30","31","14006","4249","1306",,,
"204796","Ohio State University-Main Campus","2016","","Ohio","54","33","44845","24265","7938","670","740","31"
"207388","Oklahoma State University-Main Campus","2016","","Oklahoma","75","43","13055","9729","4161","590","610","27"
"207500","University of Oklahoma-Norman Campus","2016","University of Oklahoma|Oklahoma University|OU|Oklahoma","Oklahoma","71","41","14391","10194","4198","665","680","29"
"209542","Oregon State University","2016","","Oregon","77","34","14595","11308","3814","620","620","28"
"209551","University of Oregon","2016","UO","Oregon","78","24","21821","16992","4041","610","610","27"
"214777","Pennsylvania State University-Main Campus","2016","Penn State","Pennsylvania","56","28","52974","29878","8499","630","670","29"
"215293","University of Pittsburgh-Pittsburgh Campus","2016","","Pennsylvania","55","24","29175","16165","3954","680","700","32"
"217882","Clemson University","2016","","South Carolina","51","31","23506","11881","3684","660","680","31"
"218663","University of South Carolina-Columbia","2016","","South Carolina","68","30","25057","17073","5110","650","650","30"
"221759","The University of Tennessee-Knoxville","2016","","Tennessee","77","36","17583","13578","4851","620","630","30"
"221999","Vanderbilt University","2016","","Tennessee","11","46","32442","3487","1601","790","800","35"
"223232","Baylor University","2016","","Texas","40","25","34636","13758","3503","650","660","30"
"228723","Texas A & M University-College Station","2016","Texas A&M | TAMU","Texas","67","43","34780","23361","10142","640","670","30"
"228778","The University of Texas at Austin","2016","UT Austin","Texas","40","45","47511","19182","8719","680","730","32"
"228875","Texas Christian University","2016","TCU","Texas","38","25","19972","7506","1888","630","650","30"
"229115","Texas Tech University","2016","","Texas","63","33","23311","14592","4762","590","610","27"
"230764","University of Utah","2016","The U","Utah","76","33","14308","10934","3601","640","660","27"
"233921","Virginia Polytechnic Institute and State University","2016","Virginia Tech","Virginia","71","33","25000","17718","5929","640","680",
"234076","University of Virginia-Main Campus","2016","University of Virginia |UVa |UVA","Virginia","30","38","32377","9668","3683","720","740","33"
"236939","Washington State University","2016","","Washington","72","27","23223","16731","4527","580","585","26"
"236948","University of Washington-Seattle Campus","2016","UW-Seattle, UDub, UW, Washington","Washington","45","33","43517","19733","6475","660","710","32"
"238032","West Virginia University","2016","","West Virginia","76","31","21558","16411","5124","560","570","26"
"240444","University of Wisconsin-Madison","2016","","Wisconsin","53","37","32839","17281","6430","660","760","31"
"243744","Stanford University","2016","","California","5","82","43997","2118","1739","780","800","35"
"243780","Purdue University-Main Campus","2016","Purdue-West Lafayette|Purdue|PU|Purdue-WL","Indiana","56","27","49007","27427","7399","630","690","31"
