"unitid","institution name","year","HD2017.Institution name alias","HD2017.State abbreviation","DRVADM2017_RV.Percent admitted - total","DRVADM2017_RV.Admissions yield - total","ADM2017_RV.Applicants total","ADM2017_RV.Admissions total","ADM2017_RV.Enrolled total","ADM2017_RV.SAT Evidence-Based Reading and Writing 75th percentile score","ADM2017_RV.SAT Math 75th percentile score","ADM2017_RV.ACT Composite 75th percentile score"
"100751","The University of Alabama","2017",,"Alabama","53","36","38129","20321","7407","640","640","32"
"100858","Auburn University","2017",,"Alabama","84","32","18072","15168","4836","650","660","30"
"104151","Arizona State University-Tempe","2017","ASU Tempe, ASU Main","Arizona","84","39","24127","20302","7874","670","680","29"
"104179","University of Arizona","2017","UA|U of A|Arizona|UofA|The University of Arizona|University of Arizona|University of Az|AZ|Univ. of Arizona|Univ. of Az|Tucson|Tucson, AZ|the university of Arizona|the Univ. of Az|the U of AZ|the U of Az|Ariz.|Arizona University|Az+university|85721|AZ+univ|AZ university|","Arizona","84","26","33608","28089","7360",,,
"106397","University of Arkansas","2017","University of Arkansas|Arkansas","Arkansas","66","35","21715","14324","5066","640","640","29"
"110635","University of California-Berkeley","2017","UC Berkeley","California","17","44","85044","14549","6379","720","760","34"
"110662","University of California-Los Angeles","2017","UCLA","California","16","37","102225","16456","6038","710","740","34"
"123961","University of Southern California","2017","USC","California","16","37","56676","9042","3358","730","770","34"
"126614","University of Colorado Boulder","2017","U of Colorado|Univ of Colorado|University of Colorado|U of CO|Univ of CO|University of CO|Boulder|CU|CU-Boulder|UCB|CUB|Colorado|Colorado University|U of Colo|Univ of Colo|University of Colo|Colo|Buffs|Buffalos|Buffaloes|CU at Boulder|Golden Buffs|University of Colorado at Boulder","Colorado","80","23","36148","28861","6569","660","680","30"
"134097","Florida State University","2017","Florida State|F.S.U.|FSU|F. S. U.|Fla. State University|Fla. State|Fl State University|Fl State|FL State University|FL State|Seminoles|Noles|Florida State Seminoles|Florida State University Seminoles|Fl. State|Fl. State University|The Florida State University|Floridia State University|Florda State University|Florida State Univerisity|Flordia State University|Florida State Unversity|","Florida","49","38","35334","17381","6523","670","660","30"
"134130","University of Florida","2017",,"Florida","42","47","32747","13758","6428","710","690","32"
"135726","University of Miami","2017",,"Florida","36","20","30638","10939","2212","700","720","32"
"139755","Georgia Institute of Technology-Main Campus","2017","Georgia Tech","Georgia","23","39","31497","7369","2861","730","790","34"
"139959","University of Georgia","2017",,"Georgia","54","45","24165","13052","5826","690","680","31"
"145637","University of Illinois at Urbana-Champaign","2017","Illinois|Illinios|Ilinois|Ilinios|Urbana|Champaign|Champagne|Champaign-Urbana|Champagne-Urbana|Urbana-Champaign|Urbana-Champagne|University of Illinois at Urbana|University of Illinois at Champaign|University of Illinois at Champagne|University of Illinois at Champaign-Urbana|University of Illinois at Champagne-Urbana|UIUC|UICU|University of Illinois at UC|University of Illinois at CU","Illinois","62","31","38965","23974","7518","710","790","32"
"147767","Northwestern University","2017",,"Illinois","9","55","37259","3442","1903","770","790","34"
"151351","Indiana University-Bloomington","2017","IU|IUB|IU Bloomington|","Indiana","76","25","41939","31878","8001","670","680","31"
"152080","University of Notre Dame","2017","Notre Dame | Fighting Irish | ND","Indiana","19","55","19564","3702","2051","750","770","34"
"153603","Iowa State University","2017","ISU","Iowa","89","35","19262","17208","5944","700","710","28"
"153658","University of Iowa","2017","Iowa|UI","Iowa","86","21","27734","23862","5027","680","690","28"
"155317","University of Kansas","2017","University of Kansas | Univ of Kansas | Kansas University | KU | Kansas Jayhawks | Univ of KS |University of KS | Kansas Univ | Kansas U, KUMC, University of Kansas Medical Center, KU Medical Center, Kansas University Medical Center","Kansas","93","31","14538","13576","4153",,,"28"
"155399","Kansas State University","2017","K-State","Kansas","94","42","8517","8016","3350",,,
"157085","University of Kentucky","2017",,"Kentucky","96","27","18925","18125","4855","660","670","28"
"157289","University of Louisville","2017",,"Kentucky","75","34","10987","8273","2796","640","650","28"
"159391","Louisiana State University and Agricultural & Mechanical College","2017","Louisiana State University|LSU","Louisiana","74","37","17907","13236","4917","640","650","28"
"163259","University of Maryland, Baltimore","2017",,"Maryland",,,,,,,,
"164924","Boston College","2017",,"Massachusetts","32","26","28454","9223","2412","760","730","33"
"170976","University of Michigan-Ann Arbor","2017","U of Michigan|U of M|Univ of Michigan|U Michigan Ann Arbor|University of Michigan Ann Arbor","Michigan","27","43","59886","15871","6879","730","770","33"
"171100","Michigan State University","2017","MSU|Spartans|MI State University|State|MI State U","Michigan","72","32","36143","25860","8366","650","670","28"
"174066","University of Minnesota-Twin Cities","2017",,"Minnesota","50","29","43731","21692","6201","720","760","31"
"176017","University of Mississippi","2017","Ole Miss","Mississippi","84","25","17416","14614","3694","640","650","29"
"176080","Mississippi State University","2017",,"Mississippi","62","39","13973","8719","3435",,,"28"
"178396","University of Missouri-Columbia","2017",,"Missouri","78","32","16367","12781","4134","680","670","29"
"181464","University of Nebraska-Lincoln","2017",,"Nebraska","64","51","14947","9623","4905","680","700","29"
"186380","Rutgers University-New Brunswick","2017","Rutgers, The State University of New Jersey|Rutgers, The State University|Rutgers University|Rutgers, New Brunswick |Rutgers University-New Brunswick|Rutgers-New Jersey|Rutgers, The State University New Brunswick/Piscataway|Rutgers, New Brunswick|Rutgers|RU|Rutgers, New Jersey","New Jersey","58","28","38384","22186","6268","680","720","31"
"196413","Syracuse University","2017",,"New York","47","24","33099","15517","3649","670","680","30"
"198419","Duke University","2017",,"North Carolina","10","54","33077","3261","1748","750","790","35"
"199120","University of North Carolina at Chapel Hill","2017",,"North Carolina","24","45","39650","9673","4356","720","740","33"
