"unitid","institution name","year","institution name","HD2018.State abbreviation","DRVADM2018_RV.Percent admitted - total","DRVADM2018_RV.Admissions yield - total","ADM2018_RV.Applicants total","ADM2018_RV.Admissions total","ADM2018_RV.Enrolled total","ADM2018_RV.SAT Evidence-Based Reading and Writing 75th percentile score","ADM2018_RV.SAT Math 75th percentile score","ADM2018_RV.ACT Composite 75th percentile score"
"100751","The University of Alabama","2018","The University of Alabama","Alabama","59","30","37302","22032","6663","640","640","31"
"100858","Auburn University","2018","Auburn University","Alabama","75","31","20742","15645","4783","650","660","30"
"104151","Arizona State University-Tempe","2018","Arizona State University-Tempe","Arizona","85","39","26869","22779","8861","670","690","29"
"104179","University of Arizona","2018","University of Arizona","Arizona","84","23","39941","33717","7750","650","660","28"
"106397","University of Arkansas","2018","University of Arkansas","Arkansas","77","35","18732","14512","5008","650","640","29"
"110635","University of California-Berkeley","2018","University of California-Berkeley","California","15","45","89607","13301","6012","740","790","35"
"110662","University of California-Los Angeles","2018","University of California-Los Angeles","California","14","39","113754","15970","6240","740","780","34"
"123961","University of Southern California","2018","University of Southern California","California","13","41","64352","8339","3401","740","790","34"
"126614","University of Colorado Boulder","2018","University of Colorado Boulder","Colorado","82","22","36604","29848","6700","670","690","31"
"134097","Florida State University","2018","Florida State University","Florida","37","34","50314","18504","6324","680","670","30"
"134130","University of Florida","2018","University of Florida","Florida","39","45","38905","15077","6801","710","730","32"
"135726","University of Miami","2018","University of Miami","Florida","32","21","34281","11021","2367","690","740","32"
"139755","Georgia Institute of Technology-Main Campus","2018","Georgia Institute of Technology-Main Campus","Georgia","22","41","35644","7673","3146","750","790","34"
"139959","University of Georgia","2018","University of Georgia","Georgia","49","45","26164","12723","5727","700","710","32"
"145600","University of Illinois at Chicago","2018","University of Illinois at Chicago","Illinois","76","26","21106","15945","4159","610","610","27"
"147767","Northwestern University","2018","Northwestern University","Illinois","8","56","40425","3422","1931","760","790","35"
"151351","Indiana University-Bloomington","2018","Indiana University-Bloomington","Indiana","77","24","44169","33970","8097","670","690","31"
"152080","University of Notre Dame","2018","University of Notre Dame","Indiana","18","57","20371","3608","2070","760","790","35"
"153603","Iowa State University","2018","Iowa State University","Iowa","91","35","18855","17082","6047","682","652","28"
"153658","University of Iowa","2018","University of Iowa","Iowa","83","22","26706","22077","4806","660","670","28"
"155317","University of Kansas","2018","University of Kansas","Kansas","92","31","14752","13529","4164",,,"29"
"155399","Kansas State University","2018","Kansas State University","Kansas","93","43","8685","8112","3467",,,
"157085","University of Kentucky","2018","University of Kentucky","Kentucky","94","28","19324","18258","5077","650","650","29"
"157289","University of Louisville","2018","University of Louisville","Kentucky","72","29","13851","10032","2932","640","650","29"
"159391","Louisiana State University and Agricultural & Mechanical College","2018","Louisiana State University and Agricultural & Mechanical College","Louisiana","74","32","24280","18024","5812","640","650","29"
"163259","University of Maryland, Baltimore","2018","University of Maryland, Baltimore","Maryland",,,,,,,,
"164924","Boston College","2018","Boston College","Massachusetts","28","27","31084","8669","2327","720","770","34"
"170976","University of Michigan-Ann Arbor","2018","University of Michigan-Ann Arbor","Michigan","23","45","64917","14818","6695","730","780","34"
"171100","Michigan State University","2018","Michigan State University","Michigan","78","34","33129","25733","8688","650","660","29"
"174066","University of Minnesota-Twin Cities","2018","University of Minnesota-Twin Cities","Minnesota","52","27","43444","22525","5977","710","770","31"
"176017","University of Mississippi","2018","University of Mississippi","Mississippi","88","25","15371","13535","3421","640","630","29"
"176080","Mississippi State University","2018","Mississippi State University","Mississippi","57","36","17381","9893","3565","660","670","29"
"178396","University of Missouri-Columbia","2018","University of Missouri-Columbia","Missouri","78","32","18948","14750","4673","640","650","29"
"181464","University of Nebraska-Lincoln","2018","University of Nebraska-Lincoln","Nebraska","80","40","14956","11906","4816","680","680","29"
"186380","Rutgers University-New Brunswick","2018","Rutgers University-New Brunswick","New Jersey","60","28","41348","24854","7036","680","730","31"
