"unitid","institution name","year","HD2019.Institution name alias","HD2019.State abbreviation","DRVADM2019.Percent admitted - total","DRVADM2019.Admissions yield - total","ADM2019.Applicants total","ADM2019.Admissions total","ADM2019.Enrolled total","ADM2019.SAT Evidence-Based Reading and Writing 75th percentile score","ADM2019.SAT Math 75th percentile score","ADM2019.ACT Composite 75th percentile score"
"100751","The University of Alabama","2019","","Alabama","83","21","38505","31835","6764","660","680","31"
"100858","Auburn University","2019","","Alabama","81","29","20205","16300","4808","650","670","31"
"104151","Arizona State University-Tempe","2019","ASU Tempe, ASU Main","Arizona","86","34","34188","29562","10044","670","690","28"
"104179","University of Arizona","2019","UA|U of A|Arizona|UofA|The University of Arizona|University of Arizona|University of Az|AZ|Univ. of Arizona|Univ. of Az|Tucson|Tucson, AZ|the university of Arizona|the Univ. of Az|the U of AZ|the U of Az|Ariz.|Arizona University|Az+university|85721|AZ+univ|AZ university|","Arizona","85","22","40854","34558","7683","670","690","29"
"106397","University of Arkansas","2019","University of Arkansas|Arkansas","Arkansas","77","33","17913","13809","4605","650","650","30"
"110635","University of California-Berkeley","2019","UC Berkeley","California","16","45","87847","14278","6455","740","790","35"
"110662","University of California-Los Angeles","2019","UCLA","California","12","43","111321","13720","5920","740","790","35"
"123961","University of Southern California","2019","USC","California","11","42","66198","7558","3168","740","790","34"
"126614","University of Colorado Boulder","2019","U of Colorado|Univ of Colorado|University of Colorado|U of CO|Univ of CO|University of CO|Boulder|CU|CU-Boulder|UCB|CUB|Colorado|Colorado University|U of Colo|Univ of Colo|University of Colo|Colo|Buffs|Buffalos|Buffaloes|CU at Boulder|Golden Buffs|University of Colorado at Boulder","Colorado","78","22","40677","31872","7113","670","690","31"
"134097","Florida State University","2019","Florida State|F.S.U.|FSU|F. S. U.|Fla. State University|Fla. State|Fl State University|Fl State|FL State University|FL State|Seminoles|Noles|Florida State Seminoles|Florida State University Seminoles|Fl. State|Fl. State University|The Florida State University|Floridia State University|Florda State University|Florida State Univerisity|Flordia State University|Florida State Unversity|","Florida","36","34","58936","21202","7106","670","670","30"
"134130","University of Florida","2019","","Florida","37","47","38069","13925","6554","720","750","33"
"135726","University of Miami","2019","","Florida","27","21","38920","10558","2204","700","740","32"
"139755","Georgia Institute of Technology-Main Campus","2019","Georgia Tech","Georgia","21","41","36856","7584","3076","730","780","34"
"139959","University of Georgia","2019","","Georgia","45","41","29285","13265","5499","700","720","32"
"145637","University of Illinois at Urbana-Champaign","2019","Illinois|Illinios|Ilinois|Ilinios|Urbana|Champaign|Champagne|Champaign-Urbana|Champagne-Urbana|Urbana-Champaign|Urbana-Champagne|University of Illinois at Urbana|University of Illinois at Champaign|University of Illinois at Champagne|University of Illinois at Champaign-Urbana|University of Illinois at Champagne-Urbana|UIUC|UICU|University of Illinois at UC|University of Illinois at CU","Illinois","59","30","43509","25684","7665","700","770","32"
"147767","Northwestern University","2019","","Illinois","9","55","40585","3673","2006","760","790","35"
"151351","Indiana University-Bloomington","2019","IUB | IU Bloomington","Indiana","78","25","42902","33425","8291","670","690","31"
"152080","University of Notre Dame","2019","Notre Dame | Fighting Irish | ND","Indiana","16","58","22200","3515","2051","760","790","35"
"153603","Iowa State University","2019","ISU","Iowa","92","33","18246","16796","5597","650","690","28"
"153658","University of Iowa","2019","Iowa|UI","Iowa","83","23","25928","21404","4986","660","680","29"
"155317","University of Kansas","2019","University of Kansas | Univ of Kansas | Kansas University | KU | Kansas Jayhawks | Univ of KS |University of KS | Kansas Univ | Kansas U, KUMC, University of Kansas Medical Center, KU Medical Center, Kansas University Medical Center","Kansas","93","29","15093","14052","4125",,,"29"
"155399","Kansas State University","2019","K-State","Kansas","95","41","8277","7894","3202",,,
"157085","University of Kentucky","2019","","Kentucky","96","30","18759","17981","5348","650","670","29"
"157289","University of Louisville","2019","","Kentucky","69","27","14760","10226","2803","640","650","29"
"159391","Louisiana State University and Agricultural & Mechanical College","2019","Louisiana State University|LSU","Louisiana","75","34","24501","18272","6132","650","660","29"
"163259","University of Maryland, Baltimore","2019","","Maryland",,,,,,,,
"164924","Boston College","2019","","Massachusetts","27","24","35552","9679","2297","730","770","34"
"170976","University of Michigan-Ann Arbor","2019","U of Michigan|U of M|Univ of Michigan|U Michigan Ann Arbor|University of Michigan Ann Arbor","Michigan","23","46","64972","14883","6830","740","790","34"
"171100","Michigan State University","2019","MSU|Spartans|MI State University|State|MI State U","Michigan","71","28","44322","31522","8801","650","670","29"
"174066","University of Minnesota-Twin Cities","2019","","Minnesota","57","27","40673","23076","6278","710","770","31"
"176017","University of Mississippi","2019","Ole Miss","Mississippi","88","23","16253","14325","3232","630","620","29"
"176080","Mississippi State University","2019","","Mississippi","54","35","18340","9878","3500","630","650","30"
"178396","University of Missouri-Columbia","2019","","Missouri","81","34","20015","16158","5431","660","680","29"
"181464","University of Nebraska-Lincoln","2019","","Nebraska","78","36","16829","13165","4775","670","690","28"
"186380","Rutgers University-New Brunswick","2019","Rutgers, The State University of New Jersey|Rutgers, The State University|Rutgers University|Rutgers, New Brunswick |Rutgers University-New Brunswick|Rutgers-New Jersey|Rutgers, The State University New Brunswick/Piscataway|Rutgers, New Brunswick|Rutgers|RU|Rutgers, New Jersey","New Jersey","61","29","41286","25277","7315","680","750","32"
"196413","Syracuse University","2019","","New York","44","23","35299","15664","3660","670","710","30"
"198419","Duke University","2019","","North Carolina","8","54","41947","3187","1731","770","800","35"
