year,school,rank
2014,Ohio State,1
2014,Oregon,2
2014,TCU,3
2014,Alabama,4
2014,Florida State,5
2014,Michigan State,5
2014,Baylor,7
2014,Georgia Tech,8
2014,Georgia,9
2014,UCLA,10
2014,Mississippi State,11
2014,Arizona State,12
2014,Wisconsin,13
2014,Missouri,14
2014,Clemson,15
2014,Boise State,16
2014,Ole Miss,17
2014,Kansas State,18
2014,Arizona,19
2014,USC,20
2014,Utah,21
2014,Auburn,22
2014,Marshall,23
2014,Louisville,24
2014,Memphis,25
2015,Alabama,1
2015,Clemson,2
2015,Stanford,3
2015,Ohio State,4
2015,Oklahoma,5
2015,Michigan State,6
2015,TCU,7
2015,Houston,8
2015,Iowa,9
2015,Ole Miss,10
2015,Notre Dame,11
2015,Michigan,12
2015,Baylor,13
2015,Florida State,14
2015,North Carolina,15
2015,LSU,16
2015,Utah,17
2015,Navy,18
2015,Oregon,19
2015,Oklahoma State,20
2015,Wisconsin,21
2015,Tennessee,22
2015,Northwestern,23
2015,Western Kentucky,24
2015,Florida,25
2016,Clemson,1
2016,Alabama,2
2016,USC,3
2016,Washington,4
2016,Oklahoma,5
2016,Ohio State,6
2016,Penn State,7
2016,Florida State,8
2016,Wisconsin,9
2016,Michigan,10
2016,Oklahoma State,11
2016,Stanford,12
2016,LSU,13
2016,Florida,14
2016,Western Michigan,15
2016,Virginia Tech,16
2016,Colorado,17
2016,West Virginia,18
2016,South Florida,19
2016,Miami,20
2016,Louisville,21
2016,Tennessee,22
2016,Utah,23
2016,Auburn,24
2016,San Diego State,25
2017,Alabama,1
2017,Georgia,2
2017,Oklahoma,3
2017,Clemson,4
2017,Ohio State,5
2017,UCF,6
2017,Wisconsin,7
2017,Penn State,8
2017,TCU,9
2017,Auburn,10
2017,Notre Dame,11
2017,USC,12
2017,Miami,13
2017,Oklahoma State,14
2017,Michigan State,15
2017,Washington,16
2017,Northwestern,17
2017,LSU,18
2017,Mississippi State,19
2017,Stanford,20
2017,South Florida,21
2017,Boise State,22
2017,NC State,23
2017,Virginia Tech,24
2017,Memphis,25
2018,Clemson,1
2018,Alabama,2
2018,Ohio State,3
2018,Oklahoma,4
2018,Notre Dame,5
2018,LSU,6
2018,Georgia,7
2018,Florida,7
2018,Texas,9
2018,Washington State,10
2018,UCF,11
2018,Kentucky,12
2018,Washington,13
2018,Michigan,14
2018,Syracuse,15
2018,Texas A&M,16
2018,Penn State,17
2018,Fresno State,18
2018,Army,19
2018,West Virginia,20
2018,Northwestern,21
2018,Utah State,22
2018,Boise State,23
2018,Cincinnati,24
2018,Iowa,25
2019,LSU,1
2019,Clemson,2
2019,Ohio State,3
2019,Georgia,4
2019,Oregon,5
2019,Florida,6
2019,Oklahoma,7
2019,Alabama,8
2019,Penn State,9
2019,Minnesota,10
2019,Wisconsin,11
2019,Notre Dame,12
2019,Baylor,13
2019,Auburn,14
2019,Iowa,15
2019,Utah,16
2019,Memphis,17
2019,Michigan,18
2019,Appalachian State,19
2019,Navy,20
2019,Cincinnati,21
2019,Air Force,22
2019,Boise State,23
2019,UCF,24
2019,Texas,25
2020,Alabama,1
2020,Ohio State,2
2020,Clemson,3
2020,Texas A&M,4
2020,Notre Dame,5
2020,Oklahoma,6
2020,Georgia,7
2020,Cincinnati,8
2020,Iowa State,9
2020,Northwestern,10
2020,BYU,11
2020,Indiana,12
2020,Florida,13
2020,Coastal Carolina,14
2020,Louisiana,15
2020,Iowa,16
2020,Liberty,17
2020,North Carolina,18
2020,Texas,19
2020,Oklahoma State,20
2020,USC,21
2020,Miami,22
2020,Ball State,23
2020,San José State,24
2020,Buffalo,25
