unitid,school,year,state,admitRate,yield,applications,admissions,enrollments,avgSAT75,ACTcomposite75
100751,The University of Alabama,2001,Alabama,0.79,0.39,7864,6250,2420,605,26
100858,Auburn University,2001,Alabama,0.76,0.36,13645,10362,3755,605,26
104151,Arizona State University-Tempe,2001,Arizona,0.75,0.4,20861,15702,6203,605,26
104179,University of Arizona,2001,Arizona,0.84,0.36,19719,16613,5949,605,26
106397,University of Arkansas,2001,Arkansas,0.9,0.59,4280,3858,2283,650,28
110635,University of California-Berkeley,2001,California,0.26,0.42,32963,8715,3703,725,NA
110662,University of California-Los Angeles,2001,California,0.27,0.39,40739,10953,4247,700,NA
123961,University of Southern California,2001,California,0.34,0.32,26351,8973,2916,700,31
126614,University of Colorado Boulder,2001,Colorado,0.79,0.34,18486,14637,5021,630,27
134097,Florida State University,2001,Florida,0.62,0.5,18342,11444,5772,635,NA
134130,University of Florida,2001,Florida,0.6,0.57,18625,11186,6361,660,NA
135726,University of Miami,2001,Florida,0.46,0.32,14724,6809,2164,645,NA
139755,Georgia Institute of Technology-Main Campus,2001,Georgia,0.54,0.43,9476,5157,2225,710,NA
139959,University of Georgia,2001,Georgia,0.77,0.54,10953,8419,4514,665,30
145637,University of Illinois at Urbana-Champaign,2001,Illinois,0.64,0.51,18805,12116,6179,NA,28
147767,Northwestern University,2001,Illinois,0.33,0.39,14725,4827,1885,735,NA
151351,Indiana University-Bloomington,2001,Indiana,0.83,0.41,20228,16777,6815,605,27
152080,University of Notre Dame,2001,Indiana,0.36,0.61,9385,3338,2036,725,32
153603,Iowa State University,2001,Iowa,0.9,0.48,10658,9604,4654,675,27
153658,University of Iowa,2001,Iowa,0.85,0.4,11836,10089,4005,NA,27
155317,University of Kansas,2001,Kansas,0.69,0.72,8479,5861,4208,NA,28
155399,Kansas State University,2001,Kansas,0.62,0.66,8077,5006,3283,NA,26
157085,University of Kentucky,2001,Kentucky,0.81,0.44,8312,6696,2928,NA,27
157289,University of Louisville,2001,Kentucky,0.89,0.65,4198,3741,2414,NA,25
159391,Louisiana State University and Agricultural & Mechanical College,2001,Louisiana,0.78,0.67,9789,7588,5087,NA,26
163286,University of Maryland-College Park,2001,Maryland,0.55,0.4,19647,10801,4374,675,NA
164924,Boston College,2001,Massachusetts,0.34,0.33,19059,6401,2103,695,NA
170976,University of Michigan-Ann Arbor,2001,Michigan,0.52,0.44,24141,12594,5540,701,30
171100,Michigan State University,2001,Michigan,0.65,0.44,24391,15877,6914,625,27
174066,University of Minnesota-Twin Cities,2001,Minnesota,0.76,0.46,15436,11673,5344,NA,28
176017,University of Mississippi,2001,Mississippi,0.7,0.43,7176,5001,2152,NA,26
176080,Mississippi State University,2001,Mississippi,0.34,0.95,5463,1870,1777,NA,NA
178396,University of Missouri-Columbia,2001,Missouri,0.8,0.48,10819,8661,4166,650,28
181464,University of Nebraska-Lincoln,2001,Nebraska,0.91,0.54,7266,6578,3532,645,27
186380,Rutgers University-New Brunswick,2001,New Jersey,0.6,0.34,27074,16172,5468,645,NA
196413,Syracuse University,2001,New York,0.64,0.28,14514,9221,2627,650,NA
198419,Duke University,2001,North Carolina,NA,NA,0,0,0,NA,NA
199120,University of North Carolina at Chapel Hill,2001,North Carolina,0.37,0.56,16569,6088,3415,680,NA
199193,North Carolina State University at Raleigh,2001,North Carolina,0.65,0.48,12168,7944,3839,645,NA
199847,Wake Forest University,2001,North Carolina,0.46,0.41,5271,2421,989,690,NA
204796,Ohio State University-Main Campus,2001,Ohio,0.73,0.41,19968,14501,5996,645,28
207388,Oklahoma State University-Main Campus,2001,Oklahoma,0.91,0.62,5548,5074,3165,625,26
207500,University of Oklahoma-Norman Campus,2001,Oklahoma,0.93,0.58,6943,6459,3748,NA,27
209542,Oregon State University,2001,Oregon,0.87,0.46,6906,6041,2769,600,26
209551,University of Oregon,2001,Oregon,0.9,0.39,8107,7305,2876,615,NA
214777,Pennsylvania State University-Main Campus,2001,Pennsylvania,0.48,0.4,28862,13966,5633,645,NA
215293,University of Pittsburgh-Pittsburgh Campus,2001,Pennsylvania,0.62,0.35,13565,8370,2951,635,29
217882,Clemson University,2001,South Carolina,0.52,0.43,11432,5976,2544,640,28
218663,University of South Carolina-Columbia,2001,South Carolina,0.7,0.42,11176,7788,3298,605,26
221759,The University of Tennessee-Knoxville,2001,Tennessee,0.69,0.7,8263,5675,3958,605,26
221999,Vanderbilt University,2001,Tennessee,0.46,0.34,9730,4514,1557,700,31
223232,Baylor University,2001,Texas,0.79,0.44,7986,6336,2801,640,NA
228723,Texas A & M University-College Station,2001,Texas,0.69,0.58,16681,11558,6760,645,28
228778,The University of Texas at Austin,2001,Texas,0.64,0.55,20954,13326,7337,665,NA
228875,Texas Christian University,2001,Texas,0.72,0.36,5822,4187,1514,630,28
229115,Texas Tech University,2001,Texas,0.74,0.47,12008,8837,4196,600,26
230764,University of Utah,2001,Utah,0.91,0.51,5926,5392,2735,NA,26
233921,Virginia Polytechnic Institute and State University,2001,Virginia,0.7,0.38,18839,13139,5053,645,NA
